Package	Required_version	filename	downloadlink
descr	1.1.4	descr_1.1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/descr/descr_1.1.4.tar.gz
deSolve	1.20	deSolve_1.20.tar.gz	https://cran.r-project.org/src/contrib/Archive/deSolve/deSolve_1.20.tar.gz
devtools	1.13.5	devtools_1.13.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/devtools/devtools_1.13.5.tar.gz
DiagrammeR	1.0.0	DiagrammeR_1.0.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/DiagrammeR/DiagrammeR_1.0.0.tar.gz
DiagrammeRsvg	0.1	DiagrammeRsvg_0.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/DiagrammeRsvg/DiagrammeRsvg_0.1.tar.gz
dichromat	2.0-0	dichromat_2.0-0.tar.gz	https://cran.r-project.org/src/contrib/Archive/dichromat/dichromat_2.0-0.tar.gz
digest	0.6.15	digest_0.6.15.tar.gz	https://cran.r-project.org/src/contrib/Archive/digest/digest_0.6.15.tar.gz
dimRed	0.1.0	dimRed_0.1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/dimRed/dimRed_0.1.0.tar.gz
diptest	0.75-7	diptest_0.75-7.tar.gz	https://cran.r-project.org/src/contrib/Archive/diptest/diptest_0.75-7.tar.gz
distcrete	1.0.3	distcrete_1.0.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/distcrete/distcrete_1.0.3.tar.gz
DistributionUtils	0.6-0	DistributionUtils_0.6-0.tar.gz	https://cran.r-project.org/src/contrib/Archive/DistributionUtils/DistributionUtils_0.6-0.tar.gz
distrom	1.0	distrom_1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/distrom/distrom_1.0.tar.gz
dlm	1.1-4	dlm_1.1-4.tar.gz	https://cran.r-project.org/src/contrib/Archive/dlm/dlm_1.1-4.tar.gz
DMwR	0.4.1	DMwR_0.4.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/DMwR/DMwR_0.4.1.tar.gz
doBy	4.6-1	doBy_4.6-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/doBy/doBy_4.6-1.tar.gz
doParallel	1.0.12	doParallel_1.0.12.tar.gz	https://cran.r-project.org/src/contrib/Archive/doParallel/doParallel_1.0.12.tar.gz
doSNOW	1.0.16	doSNOW_1.0.16.tar.gz	https://cran.r-project.org/src/contrib/Archive/doSNOW/doSNOW_1.0.16.tar.gz
dotCall64	0.9-5.2	dotCall64_0.9-5.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/dotCall64/dotCall64_0.9-5.2.tar.gz
downloader	0.4	downloader_0.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/downloader/downloader_0.4.tar.gz
